Pitches,Count,Event,Total
,,At Bat,1682
1,1-0,blocked_ball,9
1,1-0,ball,157
1,1-0,foul,100
1,1-0,foul_tip,8
1,1-0,called_strike,142
1,1-0,foul_bunt,2
1,1-0,swinging_strike,83
1,1-0,swinging_strike_blocked,3
2,2-0,blocked_ball,2
2,2-0,ball,33
2,2-0,called_strike,41
2,2-0,swinging_strike,27
2,2-0,foul_tip,3
2,2-0,foul,30
3,3-0,swinging_strike,2
3,3-0,called_strike,23
3,3-0,foul,3
2,1-1,blocked_ball,11
2,1-1,ball,201
2,1-1,swinging_strike_blocked,1
2,1-1,swinging_strike,101
2,1-1,called_strike,95
2,1-1,foul_bunt,1
2,1-1,foul_tip,8
2,1-1,foul,148
3,1-2,ball,236
3,1-2,blocked_ball,25
3,1-2,foul,203
3,2-1,ball,71
3,2-1,swinging_strike,54
3,2-1,blocked_ball,1
3,2-1,called_strike,46
3,2-1,foul_bunt,1
3,2-1,foul_tip,3
3,2-1,foul,81
4,2-2,ball,151
4,2-2,blocked_ball,14
4,2-2,foul,159
4,2-2,called_strike,12
4,2-2,swinging_strike,19
4,2-2,foul,36
4,2-2,foul_tip,2
5,3-2,foul,82
0,0-0,ball,535
0,0-0,blocked_ball,24
0,0-0,swinging_strike,170
0,0-0,foul,213
0,0-0,foul_bunt,4
0,0-0,called_strike,559
0,0-0,foul_tip,16
0,0-0,swinging_strike_blocked,6
1,0-1,blocked_ball,18
1,0-1,ball,307
1,0-1,foul,179
1,0-1,called_strike,149
1,0-1,foul_bunt,3
1,0-1,foul_tip,16
1,0-1,swinging_strike,158
1,0-1,swinging_strike_blocked,4
2,0-2,ball,235
2,0-2,blocked_ball,25
2,0-2,foul,142
9,outcome,caught_stealing_2b,4
9,outcome,caught_stealing_home,1
9,outcome,double,143
9,outcome,double_play,6
9,outcome,field_error,18
9,outcome,field_out,1635
9,outcome,fielders_choice,1
9,outcome,fielders_choice_out,4
9,outcome,force_out,41
9,outcome,grounded_into_double_play,37
9,outcome,hit_by_pitch,29
9,outcome,home_run,134
9,outcome,intent_walk,2
9,outcome,interf_def,1
9,outcome,other_out,1
9,outcome,pickoff_1b,1
9,outcome,pickoff_2b,3
9,outcome,sac_bunt,8
9,outcome,sac_fly,24
9,outcome,single,450
9,outcome,strikeout,1171
9,outcome,strikeout_double_play,5
9,outcome,triple,20
9,outcome,walk,234
