Percentage, Count, PitchType
3.38	,0-0,	Changeup
63.08	,0-0,	Four-Seam Fastball
15.64	,0-0,	Slider
17.90	,0-0,	Curveball
42.34	,0-1,	Four-Seam Fastball
27.70	,0-1,	Slider
4.05	,0-1,	Changeup
25.90	,0-1,	Curveball
19.49	,0-2,	Curveball
29.22	,0-2,	Four-Seam Fastball
7.14	,0-2,	Changeup
44.16	,0-2,	Slider
24.64	,1-0,	Slider
61.42	,1-0,	Four-Seam Fastball
8.57	,1-0,	Curveball
5.36	,1-0,	Changeup
29.70	,1-1,	Slider
44.22	,1-1,	Four-Seam Fastball
3.30	,1-1,	Changeup
22.77	,1-1,	Curveball
19.89	,1-2,	Curveball
5.11	,1-2,	Changeup
44.01	,1-2,	Slider
30.91	,1-2,	Four-Seam Fastball
83.15	,2-0,	Four-Seam Fastball
16.85	,2-0,	Slider
4.08	,2-1,	Curveball
7.48	,2-1,	Changeup
27.21	,2-1,	Slider
61.22	,2-1,	Four-Seam Fastball
17.41	,2-2,	Curveball
4.79	,2-2,	Changeup
41.30	,2-2,	Slider
36.52	,2-2,	Four-Seam Fastball
100	,3-0,	Four-Seam Fastball
93.62	,3-1,	Four-Seam Fastball
6.38	,3-1,	Slider
57.64	,3-2,	Four-Seam Fastball
34.03	,3-2,	Slider
8.33	,3-2,	Curveball
