PitchType,Velocity,HorizontalBreak,SpinRate,SpinDirection
Four-Seam Fastball,93.6,3.6,2636,206
Four-Seam Fastball,93.1,3.6,2587,206
Four-Seam Fastball,94.3,3.6,2658,207
Slider,87.2,7.2,2623,141
Slider,87.9,6,2606,151
Four-Seam Fastball,93.6,3.6,2517,209
Four-Seam Fastball,93.9,3.6,2584,206
Four-Seam Fastball,94.3,3.6,2519,204
Four-Seam Fastball,93.5,3.6,2410,202
Four-Seam Fastball,94.5,2.4,2471,196
Four-Seam Fastball,92.9,3.6,2506,203
Four-Seam Fastball,93.4,3.6,2555,207
Four-Seam Fastball,93.3,3.6,2542,202
Four-Seam Fastball,93.6,3.6,2557,212
Slider,86.5,7.2,2651,128
Four-Seam Fastball,93.4,2.4,2512,199
Four-Seam Fastball,94.6,2.4,2632,200
Four-Seam Fastball,93.8,2.4,2589,201
Four-Seam Fastball,93.9,3.6,2561,205
Slider,86.8,7.2,2642,127
Slider,87.2,7.2,2587,131
Changeup,85.7,7.2,1851,233
Changeup,86.2,8.4,1985,248
Slider,86.3,6,2664,155
Four-Seam Fastball,94.2,3.6,2545,206
Four-Seam Fastball,93.7,3.6,2511,202
Four-Seam Fastball,94.1,3.6,2561,209
Curveball,79.1,13.2,2910,27
Four-Seam Fastball,94.4,3.6,2543,209
Slider,87,7.2,2556,131
Four-Seam Fastball,93.5,3.6,2512,203
Four-Seam Fastball,93.8,3.6,2521,213
Curveball,80,12,2766,33
Curveball,79.4,12,2671,26
Changeup,87.9,6,1977,229
Curveball,78.1,13.2,2837,23
Slider,86.6,7.2,2703,144
Four-Seam Fastball,95.4,3.6,2612,206
Slider,87.9,7.2,2711,148
Four-Seam Fastball,95.3,3.6,2549,204
Slider,88.9,6,2553,163
Four-Seam Fastball,94.4,3.6,2604,213
Four-Seam Fastball,93.8,3.6,2613,209
Four-Seam Fastball,93.6,3.6,2676,208
Four-Seam Fastball,94,4.8,2578,216
Slider,86.6,7.2,2579,131
Four-Seam Fastball,94.7,3.6,2638,210
Four-Seam Fastball,94.7,3.6,2653,209
Slider,87,8.4,2612,105
Four-Seam Fastball,94.4,3.6,2441,201
Four-Seam Fastball,94.1,2.4,2469,198
Curveball,77.3,14.4,2826,34
Four-Seam Fastball,94,3.6,2587,205
Four-Seam Fastball,94.3,3.6,2699,204
Four-Seam Fastball,94.7,3.6,2594,212
Four-Seam Fastball,94.1,2.4,2664,200
Four-Seam Fastball,94.9,2.4,2672,202
Slider,87.1,7.2,2658,144
Slider,88.6,6,2657,143
Curveball,81.4,12,2960,48
Curveball,80,13.2,2936,26
Four-Seam Fastball,93.7,3.6,2529,209
Slider,84.6,8.4,2594,97
Slider,86.6,8.4,2723,102
Slider,86.7,7.2,2682,125
Slider,88.2,6,2664,151
Slider,84.9,8.4,2549,92
Four-Seam Fastball,93.7,2.4,2532,199
Four-Seam Fastball,94.2,3.6,2545,203
Four-Seam Fastball,94.5,3.6,2633,208
Four-Seam Fastball,94.2,3.6,2522,208
Changeup,85.5,7.2,1777,231
Four-Seam Fastball,93.9,2.4,2616,199
Curveball,78.2,12,2885,41
Four-Seam Fastball,93.5,3.6,2528,206
Four-Seam Fastball,94.8,3.6,2628,204
Slider,88.1,6,2642,155
Curveball,79.7,12,2954,36
Four-Seam Fastball,93.6,3.6,2544,207
Four-Seam Fastball,95.5,2.4,2639,204
Four-Seam Fastball,95.2,3.6,2515,206
Slider,87.7,6,2656,161
Four-Seam Fastball,95.9,2.4,2613,203
Slider,90,6,2679,178
Curveball,78.2,12,2783,32
Four-Seam Fastball,93.4,3.6,2566,208
Four-Seam Fastball,94.8,2.4,2582,202
Four-Seam Fastball,94.9,2.4,2679,199
Four-Seam Fastball,93.6,3.6,2539,203
Four-Seam Fastball,95.3,3.6,2570,207
Four-Seam Fastball,95.4,3.6,2571,205
Four-Seam Fastball,94.9,2.4,2604,200
Four-Seam Fastball,93.4,3.6,2570,208
Four-Seam Fastball,92.6,3.6,2678,204
Four-Seam Fastball,93.4,3.6,2698,205
Four-Seam Fastball,95.3,2.4,2711,202
Four-Seam Fastball,94.6,3.6,2647,208
Four-Seam Fastball,95.8,3.6,2659,208
Four-Seam Fastball,95.9,3.6,2639,208
Four-Seam Fastball,96,3.6,2611,205
Four-Seam Fastball,93.6,3.6,2666,206
Four-Seam Fastball,94.4,3.6,2602,206
Four-Seam Fastball,94.8,3.6,2534,206
Four-Seam Fastball,94.5,3.6,2604,207
Slider,88.7,6,2555,165
Curveball,80,13.2,2897,29
Four-Seam Fastball,95.2,3.6,2660,204
Four-Seam Fastball,95.3,3.6,2622,204
Slider,89.1,7.2,2671,144
Four-Seam Fastball,94.6,3.6,2524,207
Four-Seam Fastball,95.4,2.4,2698,201
Curveball,80.1,12,2798,18
Slider,89.4,6,2734,158
Four-Seam Fastball,96.3,2.4,2726,203
Four-Seam Fastball,95.4,2.4,2694,201
Four-Seam Fastball,97.2,2.4,2695,200
Four-Seam Fastball,96.3,2.4,2730,202
Slider,89.8,6,2698,173
Four-Seam Fastball,97.2,3.6,2673,208
Four-Seam Fastball,96.9,3.6,2804,208
