pitcher_id,avg_speed,pitches_thrown,rise
434378,94.6,1617,22
543037,97.1,1733,21
621111,96.5,1504,17
594798,96.9,1478,10
605182,95.4,1067,16
608337,94.2,1548,13
663978,93.9,1391,14
607644,91.7,1362,17
669456,93.1,1474,15
545333,94.5,1418,12
592826,94.2,1324,11
519141,92.8,1022,15
592662,92.4,1307,12
608379,93,1089,4
642547,93.6,1243,10
605164,91.1,1178,14
477132,90.3,1130,14
592767,91.2,1005,11
572020,95.4,1596,-1
543475,92.6,1194,3
488768,93.9,1138,3
625643,95.4,1850,-4
457918,92,1304,7
543606,92.9,1614,4
656427,94.3,1437,-2
663423,92.9,1214,6
458681,94.6,1858,-4
641778,91.8,1332,3
579328,92.5,1287,0
456701,93,1275,-7
453286,94.9,1341,-3
595881,94.2,1137,-8
501985,92.5,1497,-3
621244,93.1,1009,-5
518516,91.4,1388,-2
642098,93.4,1316,-7
641745,93.7,1133,-10
518876,92,1106,-3
596057,90.8,1061,2
571510,92.1,1509,-3
641816,93.3,1221,-8
592761,91.6,1431,-1
425844,89.9,1272,-2
593958,93,1274,-10
592866,91.7,1208,-8
605400,93.1,1180,-5
592351,96,1216,-26
501381,92.5,1181,-18
608331,93.8,1418,-22
643230,92.1,1013,-15
622608,93.7,1385,-29
605513,93.6,1191,-25
527054,89.7,1265,-8
